id_str,created_at,text,retweeted,favorite_count,in_reply_to_screen_name
1580969439247233039,2022-10-14 17:11:01+00:00,"We have 25 days left until the midterm elections to elect Democrats up and down the ballot. 

You can support @TheDemocrats’ efforts to fight back against MAGA Republicans ahead of this critical election by chipping in before the FEC deadline: 
https://t.co/fFpE7Ynaqu",False,2905,
1580704444701822976,2022-10-13 23:38:02+00:00,"So much is at stake in these midterm elections, folks. https://t.co/6faoJ4nwia",False,76819,
1580660907205480448,2022-10-13 20:45:02+00:00,"In my first year in office, I protected more lands and water than any American president since John F. Kennedy. After the previous administration rolled back protections, I restored full protections to three national monuments in Utah and New England.",False,18578,
1580618624116854784,2022-10-13 17:57:01+00:00,"Imagine if we elect two more Democrats to the Senate and keep the House. We'll codify Roe v. Wade, protect voting rights, and so much more.

Check your voter registration at https://t.co/Hy8C4mJiSk today.",False,8053,
1580357405522948096,2022-10-13 00:39:01+00:00,"We capped insulin costs for people on Medicare, but a lot of our Republican friends said, “No, we’re not going to do it for other people.” https://t.co/aKtDlTKiaA",False,15123,
1580332990047039489,2022-10-12 23:02:00+00:00,"Today, using authorities under the Antiquities Act, I’m establishing the Camp Hale Continental Divide National Monument. 

This is the first new national monument of my presidency under this authority.",False,10994,
1580294992576188416,2022-10-12 20:31:01+00:00,"RT @POTUS: Tribal Nations have stewarded the grounds of the Camp Hale-Continental Divide for thousands of years.
 
And today, tribes contin…",False,0,
1580294737419939840,2022-10-12 20:30:00+00:00,"In this November’s midterm elections, Democrats, Independents, and mainstream Republicans can come together to reject extreme MAGA Republicans. https://t.co/v8K5KwNzc3",False,8801,
1580233090957737985,2022-10-12 16:25:02+00:00,Senator Rick Scott has made it clear that he thinks Social Security and Medicare should be on the chopping block every five years. But we won't let him and the MAGA Republicans try to get their way: https://t.co/Hy8C4mJiSk.,False,5504,
1580002310809423872,2022-10-12 01:08:00+00:00,"158 House Republicans have signed on to a Republican budget that would cut Social Security and Medicare.

I have a different idea: I’ll protect Social Security and Medicare and make them stronger.",False,42461,
